0xf977814e90da44bfa03b6295a0616a897441acec,BUSD,5959000000.00
0xf977814e90da44bfa03b6295a0616a897441acec,BNB,2648544139.14
0xf977814e90da44bfa03b6295a0616a897441acec,CHZ,512371924.22
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,BNB,5075693258.11
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,BUSD,1010000000.00
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,THETA,576289506.64
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,FTM,450000000.00
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,HOT,443960573.55
0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,USDC,1636815.82
0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,USDT,1462987.06
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,DYDX,39556716.08
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,ELON,37360148.90
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,CVC,9414701.09
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,BTU,8714169.06
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,HEDG,6701404.34
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,LAMB,5165872.22
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,CVC,4214205.00
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,HIT,4049221.82
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,AST,3722140.14
0x34ea4138580435b5a521e460035edb19df1938c1,MATIC,264208271.70
0x34ea4138580435b5a521e460035edb19df1938c1,SHIB,186185159.27
0x34ea4138580435b5a521e460035edb19df1938c1,ENJ,107024661.88
0x72a53cdbbcc1b9efa39c834a540550e23463aacb,ENJ,91346336.40
0x72a53cdbbcc1b9efa39c834a540550e23463aacb,HOT,63965555.09
0x72a53cdbbcc1b9efa39c834a540550e23463aacb,SAND,60328868.33
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,AMP,141454500.05
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,SAND,65433600.00
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,MATIC,51358506.18
