Rank,Address,Quantity,Percentage,Value,Analytics
185,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x6129a92a504e7d942e2ba447c5c49fa04946e583,"21,357,946,702,944.198569499",0.0214%,"$116,528.96",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x6129a92a504e7d942e2ba447c5c49fa04946e583#tokenAnalytics
186,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x238e31b5e3d61760f64b96dc43696528daf82d14,"21,279,729,059,316.863735202",0.0213%,"$116,102.20",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x238e31b5e3d61760f64b96dc43696528daf82d14#tokenAnalytics
187,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x43ed2dfc395bf84885853221b1d753e4f8e9d52f,"21,257,665,641,164.706130981",0.0213%,"$115,981.82",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x43ed2dfc395bf84885853221b1d753e4f8e9d52f#tokenAnalytics
188,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x99046907448b77efd3897f05b5a6a00f0aadf2e7,"21,201,202,888,303.879794131",0.0212%,"$115,673.76",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x99046907448b77efd3897f05b5a6a00f0aadf2e7#tokenAnalytics
189,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x454b358fcff3762fa11bcbc62c2fdf3ef068fd7a,"21,110,320,048,702.334879806",0.0211%,"$115,177.91",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x454b358fcff3762fa11bcbc62c2fdf3ef068fd7a#tokenAnalytics
190,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xb4d2c65629fead0e7a22e0308636c375014e9f0c,"21,048,248,534,043.245590634",0.0210%,"$114,839.24",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xb4d2c65629fead0e7a22e0308636c375014e9f0c#tokenAnalytics
191,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xbd5506456a5474b828124813924ad9d3227b282f,"20,647,567,272,797.617540056",0.0206%,"$112,653.13",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xbd5506456a5474b828124813924ad9d3227b282f#tokenAnalytics
192,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe6154857f0d73a784ecac5cbdbd65af561c9401f,"20,575,960,259,663.017709144",0.0206%,"$112,262.44",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe6154857f0d73a784ecac5cbdbd65af561c9401f#tokenAnalytics
193,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x8c194810af754bc39e9d08587569de996cacfa64,"20,527,994,911,292.330708259",0.0205%,"$112,000.74",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x8c194810af754bc39e9d08587569de996cacfa64#tokenAnalytics
194,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x24514d0bff17fc6c35add94d961a329e39cc8e49,"20,311,813,743,279.690540381",0.0203%,"$110,821.26",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x24514d0bff17fc6c35add94d961a329e39cc8e49#tokenAnalytics
