Rank,Address,Quantity,Percentage,Value,Analytics
68,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x2fca03a5d70910ab8b66a7e6057f27cdc87bafee,"116,362,838",0.3217%,"$84,900,325.06",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x2fca03a5d70910ab8b66a7e6057f27cdc87bafee#tokenAnalytics
69,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc753c0bad417272eb435e1fb94e2d4b7b366584c,"116,283,950",0.3215%,"$84,842,767.02",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc753c0bad417272eb435e1fb94e2d4b7b366584c#tokenAnalytics
70,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x5a92be4b21dfa89ede86e37db2799fcc381542c3,"116,109,488",0.3210%,"$84,715,476.55",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x5a92be4b21dfa89ede86e37db2799fcc381542c3#tokenAnalytics
71,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x9ec10b35eb8000502b68284efb64981047237abf,"114,886,666",0.3176%,"$83,823,284.62",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x9ec10b35eb8000502b68284efb64981047237abf#tokenAnalytics
72,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc9306f8a9724c7f9cc9b3d2dfbbb39f7be489521,"112,376,969",0.3107%,"$81,992,166.58",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc9306f8a9724c7f9cc9b3d2dfbbb39f7be489521#tokenAnalytics
73,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x4c895b2f9c4d66c3cf8d98c7a73f365407ad4df7,"111,540,266",0.3084%,"$81,381,693.70",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x4c895b2f9c4d66c3cf8d98c7a73f365407ad4df7#tokenAnalytics
74,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x02871c6398df54278ff2a82e4d4c7850b73e65b0,"110,897,728",0.3066%,"$80,912,886.94",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x02871c6398df54278ff2a82e4d4c7850b73e65b0#tokenAnalytics
75,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xda7b60a1b667913b2a6b1d47ba069b4128a06503,"109,550,084",0.3029%,"$79,929,622.74",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xda7b60a1b667913b2a6b1d47ba069b4128a06503#tokenAnalytics
76,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x706f8f077d184365c36abc622abfe9355c7f0fca,"108,143,790",0.2990%,"$78,903,566.48",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x706f8f077d184365c36abc622abfe9355c7f0fca#tokenAnalytics
77,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x3785f6382ee3adfcc23e79fbe17fe199193713ea,"106,429,526",0.2943%,"$77,652,810.03",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x3785f6382ee3adfcc23e79fbe17fe199193713ea#tokenAnalytics
