Rank,Address,Quantity,Percentage,Value,Analytics
17,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x0d87a53ea6025d8c9039b1b771c0af7248328cd8,"197,879,125,746,272.063955782",0.1979%,"$930,031.89",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x0d87a53ea6025d8c9039b1b771c0af7248328cd8#tokenAnalytics
18,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe9d2afff18f08375d5b7a8a804e272b6c81ceb9f,"189,711,418,480,189.774723325",0.1897%,"$891,643.67",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe9d2afff18f08375d5b7a8a804e272b6c81ceb9f#tokenAnalytics
19,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x33eac50b7faf4b8842a621d0475335693f5d21fe,"148,721,184,372,435.717186898",0.1487%,"$698,989.57",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x33eac50b7faf4b8842a621d0475335693f5d21fe#tokenAnalytics
20,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xef5d2617be84b717e1d5269d4dd57913b4511a75,"146,317,382,924,667.891305502",0.1463%,"$687,691.70",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xef5d2617be84b717e1d5269d4dd57913b4511a75#tokenAnalytics
21,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xbf6c78ec5935fc8a5f2f066df865298d3d3abf87,"141,809,446,054,894.273354055",0.1418%,"$666,504.40",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xbf6c78ec5935fc8a5f2f066df865298d3d3abf87#tokenAnalytics
22,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe25d6b8106059078425d50c3acb67558c45d5bdd,"103,597,762,039,387.037380413",0.1036%,"$486,909.48",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe25d6b8106059078425d50c3acb67558c45d5bdd#tokenAnalytics
23,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa51fb200922045b4dc60ca02e24cd8446e0379e1,"102,449,847,764,768.71983687",0.1024%,"$481,514.28",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa51fb200922045b4dc60ca02e24cd8446e0379e1#tokenAnalytics
24,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc66c89c6469ad51f4e7e4556a1a015a079788af7,"101,332,704,510,737.781526299",0.1013%,"$476,263.71",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc66c89c6469ad51f4e7e4556a1a015a079788af7#tokenAnalytics
25,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa039917930635a7a5c7a0ca4158c8a950cb25934,"96,010,472,932,422.210969779",0.0960%,"$451,249.22",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa039917930635a7a5c7a0ca4158c8a950cb25934#tokenAnalytics
26,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xd2ffabb67909b01d582011960321fb1abb5a7904,"90,368,428,483,475.324386913",0.0904%,"$424,731.61",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xd2ffabb67909b01d582011960321fb1abb5a7904#tokenAnalytics
27,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xeac41f7167ea07dd11b09207a6fb1ede3972be5c,"88,770,352,807,652.387180237",0.0888%,"$417,220.66",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xeac41f7167ea07dd11b09207a6fb1ede3972be5c#tokenAnalytics
28,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb6b6d377ca48024da9e64460ee3a569ff95446b5,"81,263,067,744,414.565113563",0.0813%,"$381,936.42",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb6b6d377ca48024da9e64460ee3a569ff95446b5#tokenAnalytics
29,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x336c30840592afb060f9df5c23378799ce793d5d,"79,390,157,952,299.008314944",0.0794%,"$373,133.74",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x336c30840592afb060f9df5c23378799ce793d5d#tokenAnalytics
30,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x31068590e13b615d3e2888e0da0051613f1d568e,"78,966,159,122,934.645574278",0.0790%,"$371,140.95",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x31068590e13b615d3e2888e0da0051613f1d568e#tokenAnalytics
31,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x6602ef9975a0540b8faf71ac6cacf080533452dd,"77,678,560,896,698.477077922",0.0777%,"$365,089.24",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x6602ef9975a0540b8faf71ac6cacf080533452dd#tokenAnalytics
32,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x88d957acdc463cc61a4c5186b4dd9dcc54738960,"77,340,447,314,516.19309802",0.0773%,"$363,500.10",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x88d957acdc463cc61a4c5186b4dd9dcc54738960#tokenAnalytics
33,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf58faf230c0d3c89449fd99360165ca22a25af0d,"76,290,805,960,033.681253533",0.0763%,"$358,566.79",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf58faf230c0d3c89449fd99360165ca22a25af0d#tokenAnalytics
34,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x3b5f58f88e5b898b043d16c4f939a7c4004cd726,"73,405,055,449,711.173148218",0.0734%,"$345,003.76",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x3b5f58f88e5b898b043d16c4f939a7c4004cd726#tokenAnalytics
35,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x9a3df72379261b258060810642d7b8f35327708a,"70,263,788,291,888.704526921",0.0703%,"$330,239.80",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x9a3df72379261b258060810642d7b8f35327708a#tokenAnalytics
36,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc9d9a472003d220171758b7aba0143ccf8d21582,"70,175,884,461,300.969268176",0.0702%,"$329,826.66",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc9d9a472003d220171758b7aba0143ccf8d21582#tokenAnalytics
37,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x9493eb8de756ac7eff54cc524447018337863b89,"66,222,742,422,251.965132526",0.0662%,"$311,246.89",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x9493eb8de756ac7eff54cc524447018337863b89#tokenAnalytics
